Código País;Descripción_pais;latitud;longitud
1;Paraguay;55,378051;-3,435973
2;Honduras;12,226079;-69,060087
3;Puerto Rico;18,220833;-66,590149
4;Bolivia;12,20581126;-69,02984619
5;México;23,634501;-102,552784
6;Costa Rica;9,748917;-83,753428
7;El Salvador;13,794185;-88,89653
8;Guatemala;15,783471;-90,230759
9;Panamá;8,537981;-80,782127
10;Brasil;-14,235004;-51,92528
11;Colombia;4,570868;-74,297333
12;Venezuela;6,42375;-66,58973
13;Chile;-35,675147;-71,542969
14;Argentina;-38,416097;-63,616672
15;Canada;14,641528;-61,024174
16;Nicaragua;16,995971;-62,067641
17;Uruguay;-32,522779;-55,765835
18;Jamaica;18,109581;-77,297508
19;Trinidad;10,691803;-61,222503
20;Ecuador;-1,831239;-78,183406
21;Perú;-9,189967;-75,015152
22;República Dominicana;18,735693;-70,162651
23;Guyana Francesa;3,933889;-53,125782
